B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
3150,2957,1664,1838,2250,2517,2763,3067,2368,3289,4056,Cultivated and managed vegetation/agriculture (cropland),-1.18603,37.838573,2021-04-03
2054,1583,615,866,1068,1448,1649,1832,1636,1919,2064,"Open forest, unknown",0.191695,35.821361,2021-03-27
4345,3440,1836,2032,2406,2575,2762,2852,3098,3023,3077,"Open forest, unknown",3.469137,39.311659,2021-03-11
3324,2593,706,1170,1914,2046,2172,2272,2404,2377,2725,Cultivated and managed vegetation/agriculture (cropland),-1.471292,38.03665,2021-04-11
2987,2633,1672,1914,2068,2057,2499,2583,2380,2597,2458,Urban / built up,0.038139,36.381507,2021-02-12
1918,1386,532,682,756,1049,1578,1689,1378,1998,2149,"Open forest, unknown",0.07831,35.641537,2021-03-15
630,425,267,379,413,458,666,731,651,744,815,Cultivated and managed vegetation/agriculture (cropland),0.058216,37.16786,2021-02-03
2976,2095,430,707,711,1385,2971,3606,3532,3657,3503,"Open forest, unknown",1.739731,37.312448,2021-03-13
2660,1906,933,1426,1622,1863,2802,3089,3338,3363,3414,"Open forest, unknown",3.117168,37.41542,2021-02-15
2486,2119,1200,1542,2008,2202,2279,2375,2272,2435,2257,Urban / built up,3.995372,37.272608,2021-03-02
2799,2521,1212,1534,1820,2107,2113,2214,1986,2236,2493,Urban / built up,1.590296,37.802701,2020-07-14
2986,2749,927,1120,1666,2108,2435,2516,2160,2622,2625,Urban / built up,1.991497,35.93774,2021-02-12
2856,1888,703,1006,1220,1722,2734,3155,3186,3513,3484,"Open forest, unknown",-0.520525,39.664418,2021-03-22
4060,2791,6060,6108,6108,6060,6056,6298,6208,6347,3694,"Open forest, unknown",2.238938,38.003528,2021-03-09
2614,1591,644,1060,1140,1480,2927,3347,3090,3519,3607,Cultivated and managed vegetation/agriculture (cropland),-1.357209,38.026795,2021-01-19
4024,4058,3138,3084,3338,3596,3625,3636,3686,3704,5327,Urban / built up,0.839968,38.496806,2021-04-08
2376,1784,355,525,627,1126,2141,2475,2414,2692,2427,Urban / built up,-0.45274,37.787944,2021-03-30
2865,2614,2078,2372,2590,2701,2899,3080,3066,3127,3151,Urban / built up,3.110818,35.614734,2021-03-04
5939,5344,6616,6380,6320,6803,6689,6676,6452,6673,8779,Cultivated and managed vegetation/agriculture (cropland),-0.593168,38.041673,2021-03-24
1911,1519,1784,1730,1636,1957,2404,2563,2664,2652,4081,Cultivated and managed vegetation/agriculture (cropland),0.036264,36.353163,2021-03-11
3742,3277,1670,2098,2592,2877,2880,2973,2974,3133,4098,Urban / built up,0.962752,38.536698,2021-03-01
7607,5799,12272,11672,11192,11502,10976,10839,10560,10583,14082,"Open forest, unknown",-1.252927,38.097692,2021-03-17
2490,1648,416,772,910,1415,2344,2642,2836,2928,2729,"Open forest, unknown",3.470123,39.051094,2021-01-18
2730,1636,706,1050,836,1662,3199,3626,3776,3912,3840,"Open forest, unknown",1.767368,37.320687,2021-03-22
6114,4887,8600,7940,7248,7772,7499,7416,7604,7272,13514,"Open forest, unknown",-2.374958,40.407104,2021-02-11
3311,3048,1452,1840,2074,2343,2650,2653,2632,2815,2686,Urban / built up,0.038139,36.381481,2021-03-29
3257,2834,1868,2232,2520,2820,3108,3211,3074,3312,4471,Urban / built up,-0.481235,39.652985,2021-03-12
5671,5262,6476,6168,5776,6546,6452,6481,6412,6372,15782,Urban / built up,0.355941,37.574749,2021-01-25
2420,2047,1046,1428,1734,1890,2251,2410,2426,2494,2641,Urban / built up,4.207017,34.372564,2021-04-07
1623,1117,817,990,949,1183,1856,2063,2008,2149,3173,Cultivated and managed vegetation/agriculture (cropland),-1.158252,38.006812,2021-01-30
2904,2262,694,972,1262,1453,1831,2102,2424,2299,2490,"Open forest, unknown",2.063867,35.436958,2021-01-30
4421,3844,4496,4472,4372,4537,4798,4852,4832,4851,5277,Cultivated and managed vegetation/agriculture (cropland),-0.94258,38.053427,2021-02-12
2335,1999,1312,1618,1758,2127,2628,2797,2778,2880,3322,"Open forest, unknown",2.112273,36.161631,2021-03-08
