lat,long,date,lcc
2.198368,37.90568,2/1/2021,"Open forest, unknown"
-0.764787,36.221938,4/8/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.513537,38.362446,1/30/2021,"Open forest, unknown"
1.018294,39.48919,2/5/2021,Urban / built up
3.431694,39.300061,1/29/2021,"Open forest, unknown"
0.049758,35.728,4/1/2021,"Open forest, unknown"
-1.26745,37.755262,2/16/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.593834,40.062752,1/26/2021,"Open forest, unknown"
-0.704125,37.689665,3/12/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.537013,38.029233,4/14/2021,Cultivated and managed vegetation/agriculture (cropland)
3.524434,39.06947,4/8/2021,Urban / built up
0.471033,35.999394,3/1/2021,"Open forest, unknown"
-3.68722,39.706915,1/11/2021,"Open forest, unknown"
2.349194,38.035729,2/8/2021,"Open forest, unknown"
3.15405,39.251534,3/19/2021,Urban / built up
4.111444,40.869957,2/15/2021,Urban / built up
-0.450603,37.77585,2/11/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.534944,36.584251,4/1/2021,Cultivated and managed vegetation/agriculture (cropland)
0.473942,35.74208,2/4/2021,Cultivated and managed vegetation/agriculture (cropland)
0.291194,35.879532,3/12/2021,"Open forest, unknown"
-0.515543,38.362739,2/10/2021,Cultivated and managed vegetation/agriculture (cropland)
3.120495,35.600137,3/4/2021,Urban / built up
-0.780167,36.433855,4/9/2021,Urban / built up
-0.899496,37.307527,2/25/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.20822,37.623843,2/7/2021,Cultivated and managed vegetation/agriculture (cropland)
1.589868,37.801707,3/30/2021,Urban / built up
-0.250332,37.730656,3/4/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.053498,37.811555,1/20/2021,Cultivated and managed vegetation/agriculture (cropland)
0.016156,37.079701,2/22/2021,Urban / built up
-0.965479,38.017574,3/28/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.342158,38.015784,2/25/2021,Cultivated and managed vegetation/agriculture (cropland)
0.150973,37.746058,2/22/2021,Cultivated and managed vegetation/agriculture (cropland)
0.464447,36.387417,2/2/2021,Cultivated and managed vegetation/agriculture (cropland)
1.212147,38.788864,3/24/2021,Urban / built up
-0.370857,37.810605,1/31/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.488791,36.938903,4/3/2021,Urban / built up
1.996377,36.120322,3/1/2021,"Open forest, unknown"
1.969278,36.062057,1/21/2021,"Open forest, unknown"
2.326708,37.990604,4/13/2021,Urban / built up
3.463236,39.242836,6/29/2020,Cultivated and managed vegetation/agriculture (cropland)
2.140031,36.91959,3/30/2021,Cultivated and managed vegetation/agriculture (cropland)
1.98558,36.081364,2/14/2021,"Open forest, unknown"
3.468904,39.305775,3/31/2021,Cultivated and managed vegetation/agriculture (cropland)
3.974787,41.610772,2/19/2021,"Open forest, unknown"
-0.573269,38.107306,4/7/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.259085,38.178677,3/13/2021,"Open forest, unknown"
2.326888,37.992688,4/5/2021,Urban / built up
2.212047,37.979255,2/24/2021,"Open forest, unknown"
